感官,消失内容,具体表现,对玩法影响,参数
[规则],每丧失1滴血随机失去1种感官,视觉固定最后(死亡时),其余四感随机,
,,,,
听觉,攻击预警音,怪物出招无预警音效,无法靠声音判断攻击,-
听觉,背景音乐,世界完全死寂,失去节奏辅助计时,-
听觉,环境音效,脚步/风声/技能音消失,屏幕外敌人无法感知,-
听觉,卡牌刷新提示音,无声刷新,易错过新卡,-
,,,,
触觉,受击反馈,无震动/闪红/击退,只能看UI判断受伤,-
触觉,攻击反馈,命中无顿帧,不确定是否打中,-
触觉,操作手感,移动方向随机漂移,精确走位困难,"偏移±15%,每0.3-0.8秒"
触觉,落地反馈,着地无震动,二段跳时机难判断,起跳方向±5度
,,,,
味觉,UI位置稳定性,卡牌栏/血条随机偏移漂浮,肌肉记忆失效,"±20px,每1-2秒"
味觉,属性图标准确性,30%概率显示错误属性图标,需记忆卡牌位置,"仅显示错误,实际不变"
味觉,颜色可靠性,UI配色随机变化,颜色判断属性失效,-
味觉,数字稳定性,倒计时数字抖动,干扰读秒,缩放0.9x-1.1x
,,,,
嗅觉,怪物属性标识,颜色光环/属性粒子消失,需靠外形记忆属性,-
嗅觉,倒计时准确性,跳数/冻结/隐藏/错误显示,需心算估时,10%概率错误数字
嗅觉,攻击预警标记,\!符号不再出现,攻击时机无提示,-
嗅觉,卡牌消失预警,闪烁提示消失,卡牌突然消失无预判,-
,,,,
视觉(死亡),全部画面,模糊→褪色→暗角→全黑,Game Over,全过程约4秒
