参数,数值,设计关联
玩家HP,5,= 5种感官 = 主题数字起点
怪物HP,10,暴击剩1可补刀;非克制需多步
卡牌刷新周期,5秒,= 主题数字
初始卡牌数,5张,= 主题数字
每秒消失卡牌,1张,54321递减
暴击后怪物HP,1,保留补刀操作感
普攻伤害,1/击,强调卡牌为主输出
下砸伤害,2/次,空中重攻击奖励
非克制最大伤害,5(第5秒使用),= 主题数字
物质卡伤害,3(固定),穿透护盾
无属性攻击卡伤害,2(固定),稳定输出
时间停止持续,1.5秒,控制效果
时间减缓持续,3秒(50%减速),控制效果
属性种类数,5(+5无属性),元素5种+无属性5种
无敌帧持续,1秒,受伤后缓冲
卡牌施法时间,0.3秒,短暂操作窗口
怪物攻击力,1滴血/次,固定
,,
【概率统计】,,
克制卡单轮出现率,约67%,1-(4/5)^5
最后1秒特定属性率,20%,仅剩1张卡
连续2轮无克制概率,约11%,(1-0.67)^2
,,
【主题数字映射】,,
数字5,5张卡牌/5种感官/5滴血/5秒/5种属性,核心主题
数字4,4秒剩4张/4血丧失1感/非克制4点,递减
数字3,3秒剩3张/3血丧失2感/三连击,递减
数字2,2秒剩2张/2血丧失3感/二段跳/下砸2伤害,递减
数字1,1秒剩1张/1血仅剩视觉/暴击留1血/普攻1伤,极限
数字0,全牌消失/全感官丧失=死亡,Game Over
