编号,卡牌名称,属性,颜色(Hex),图标,稀有度,克制(暴击),被克制,释放表现,附加效果,卡池权重
F01,烈焰弹,火,#FF4500,🔥,普通,冰,土,发射火球直线飞行,无,20%
F02,爆裂火柱,火,#FF4500,🔥,普通,冰,土,"脚下喷发火柱,垂直范围攻击",无,20%
F03,熔岩喷射,火,#FF4500,🔥,稀有,冰,土,扇形喷射熔岩碎片(短距多段),命中后地面留下燃烧区域1秒,10%
F04,陨石坠落,火,#FF4500,🔥,稀有,冰,土,"天空坠落巨型火球,大范围落点",落点爆炸击退周围敌人,10%
I01,冰霜刺,冰,#00CED1,❄️,普通,风,火,冰锥从地面刺出,无,20%
I02,冰晶弹幕,冰,#00CED1,❄️,普通,风,火,发射3颗冰晶散射,无,20%
I03,极寒领域,冰,#00CED1,❄️,稀有,风,火,以自身为中心释放冰霜冲击波,范围内敌人减速30%持续1秒,10%
I04,冰封棺,冰,#00CED1,❄️,稀有,风,火,冰柱包围目标形成冰棺,目标冻结0.5秒(非暴击时),10%
W01,旋风斩,风,#32CD32,🌪️,普通,雷,冰,风刃弧形横扫,无,20%
W02,风刃飞射,风,#32CD32,🌪️,普通,雷,冰,快速发射风刃直线穿透,可穿透1个额外目标,20%
W03,龙卷风暴,风,#32CD32,🌪️,稀有,雷,冰,释放小型龙卷风向前推进,路径上敌人被吸入并抛起,10%
W04,真空斩,风,#32CD32,🌪️,稀有,雷,冰,瞬间高速拔刀斩(极短距),"无视距离,瞬发无前摇",10%
T01,雷霆击,雷,#FFD700,⚡,普通,土,风,从天落雷打击目标位置,无,20%
T02,电弧链,雷,#FFD700,⚡,普通,土,风,释放链状闪电连接多个目标,最多弹射2个额外目标(各1伤害),20%
T03,雷暴领域,雷,#FFD700,⚡,稀有,土,风,指定区域持续落雷2秒,区域内每0.5秒判定一次,10%
T04,瞬雷,雷,#FFD700,⚡,稀有,土,风,"极速落雷,几乎无延迟命中",施法时间减为0.1秒(特殊),10%
E01,岩石锤,土,#8B4513,🪨,普通,火,雷,石锤从上砸落,无,20%
E02,尖刺陷阱,土,#8B4513,🪨,普通,火,雷,地面升起岩石尖刺,无,20%
E03,岩壁屏障,土,#8B4513,🪨,稀有,火,雷,召唤岩壁阻挡前方(持续2秒),阻挡敌方投射物+接触伤害,10%
E04,地裂冲击,土,#8B4513,🪨,稀有,火,雷,重击地面产生裂缝向前延伸,裂缝路径全部受伤+短暂眩晕0.3秒,10%
N01,时间停止,无(时间),#4B0082,⏸️,稀有,—,—,"全屏紫黑色波纹扩散,时间凝固",目标完全静止1.5秒,8%
N02,时间裂隙,无(时间),#4B0082,⏸️,稀有,—,—,"撕开时空裂缝,短暂冻结区域",指定范围内目标静止1秒(范围小),8%
N03,时间减缓,无(时间),#9370DB,⏳,普通,—,—,淡紫色沙漏光环笼罩目标,目标减速50%持续3秒,12%
N04,迟缓领域,无(时间),#9370DB,⏳,普通,—,—,释放减速力场覆盖前方区域,区域内全体减速40%持续2秒,12%
N05,空间推离,无(空间),#C0C0C0,🌀,普通,—,—,银白色冲击波将敌人推远,"击退距离3米,不造成伤害",12%
N06,空间折跃,无(空间),#C0C0C0,🌀,稀有,—,—,瞬间传送至目标背后,传送后下一次攻击必定背刺(+1伤害),8%
N07,物质崩解,无(物质),#8B4513,💎,稀有,—,—,"分解目标物质结构,忽视防御","固定3点伤害,穿透护盾",8%
N08,物质凝聚弹,无(物质),#8B4513,💎,普通,—,—,凝聚空气中物质形成实弹射出,"固定2点伤害,穿透护盾",12%
N09,虚无之刃,无(纯),#A9A9A9,⚪,普通,—,—,灰白色能量斩击,"固定2点伤害,无加成无削弱",15%
N10,中和射线,无(纯),#A9A9A9,⚪,普通,—,—,发射灰白色光线贯穿目标,"固定2点伤害,无视属性",15%
